Domain,Phylum,Class,Order,Family,Genus,Species
Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Candidatus Udaeobacter, uncultured bacterium
Bacteria, Proteobacteria, Deltaproteobacteria, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Latescibacteria,NA,NA,NA,NA,NA
Bacteria, Actinobacteria, Actinobacteria, Frankiales,NA,NA,NA
Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Planctomycetes, Phycisphaerae, Phycisphaerales, Phycisphaeraceae, AKYG587,NA
Bacteria, Chloroflexi, Anaerolineae, RBG-13-54-9, uncultured bacterium, uncultured bacterium, uncultured bacterium
Bacteria, Actinobacteria, Actinobacteria, Corynebacteriales, Nocardiaceae,NA,NA
Bacteria, Gemmatimonadetes, Gemmatimonadetes, Gemmatimonadales, Gemmatimonadaceae, uncultured, Ambiguous_taxa
Bacteria, Acidobacteria, Acidobacteriia, Subgroup 2, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Proteobacteria, Gammaproteobacteria, KI89A clade, uncultured bacterium, uncultured bacterium, uncultured bacterium
Bacteria, Chloroflexi, Dehalococcoidia, S085, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, SC-I-84,NA,NA
Bacteria, Planctomycetes, OM190, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
Bacteria, Acidobacteria, Blastocatellia (Subgroup 4), Blastocatellales, Blastocatellaceae, Stenotrophobacter, Ambiguous_taxa
Unassigned,NA,NA,NA,NA,NA,NA
Bacteria, Proteobacteria, Deltaproteobacteria, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio, uncultured bacterium
Bacteria, Acidobacteria, Subgroup 17, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Haliangiaceae, Haliangium, uncultured bacterium
Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, KF-JG30-B3, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Novosphingobium, Ambiguous_taxa
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Nitrosomonadaceae, Ellin6067,NA
Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, Ambiguous_taxa, Ambiguous_taxa
Archaea, Euryarchaeota, Thermoplasmata, Marine Group II, uncultured archaeon, uncultured archaeon, uncultured archaeon
Bacteria, Chloroflexi, TK10, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Nitrospirae, Nitrospira, Nitrospirales, Nitrospiraceae, Nitrospira, Ambiguous_taxa
Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, uncultured bacterium, uncultured bacterium
Bacteria, Gemmatimonadetes, Gemmatimonadetes, Gemmatimonadales, Gemmatimonadaceae, Gemmatimonas,NA
Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Chthoniobacter, Ambiguous_taxa
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Nitrosomonadaceae, IS-44, uncultured bacterium
Bacteria, Cyanobacteria, Sericytochromatia,NA,NA,NA,NA
Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, mle1-27,NA,NA
Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, uncultured, Ambiguous_taxa
Bacteria, Entotheonellaeota, Entotheonellia, Entotheonellales, Entotheonellaceae, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, Ambiguous_taxa
Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Sandaracinaceae, uncultured, Ambiguous_taxa
Archaea, Thaumarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, 27F-1492R, uncultured bacterium, uncultured bacterium
Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Haliangiaceae, Haliangium,NA
Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, uncultured, Ambiguous_taxa
Bacteria, Proteobacteria, Deltaproteobacteria,NA,NA,NA,NA
Bacteria, Acidobacteria, Holophagae, Subgroup 7, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Proteobacteria, Deltaproteobacteria, Desulfarculales, Desulfarculaceae, uncultured, Ambiguous_taxa
Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, uncultured, uncultured bacterium
Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, BIrii41, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, uncultured,NA
Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, uncultured, Ambiguous_taxa
Bacteria, Planctomycetes, Planctomycetacia, Gemmatales, Gemmataceae, uncultured, uncultured bacterium
Bacteria, Planctomycetes, Planctomycetacia, Isosphaerales, Isosphaeraceae, uncultured, Ambiguous_taxa
Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Haliangiaceae, Haliangium, Ambiguous_taxa
Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, uncultured bacterium, uncultured bacterium
Bacteria, Acidobacteria, Subgroup 6,NA,NA,NA,NA
Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Hyphomicrobium, uncultured bacterium
Bacteria, Gemmatimonadetes, Gemmatimonadetes, Gemmatimonadales, Gemmatimonadaceae, uncultured, uncultured bacterium
Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Chthoniobacter,NA
Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Acidobacteria, Acidobacteriia, Solibacterales, Solibacteraceae (Subgroup 3), Candidatus Solibacter, Ambiguous_taxa
Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Hyphomicrobium,NA
Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,NA
Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae,NA,NA
Bacteria, Planctomycetes, Phycisphaerae, Tepidisphaerales, WD2101 soil group, uncultured bacterium, uncultured bacterium
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Proteobacteria, Alphaproteobacteria, Micropepsales, Micropepsaceae, uncultured,NA
Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Bacteroidetes, Bacteroidia, Cytophagales, Hymenobacteraceae, Adhaeribacter,NA
Bacteria, Actinobacteria, MB-A2-108, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Brevundimonas, Ambiguous_taxa
Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, Ferruginibacter, Ambiguous_taxa
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, SC-I-84, beta proteobacterium JGI 0001003-N18, beta proteobacterium JGI 0001003-N18
Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Candidatus Udaeobacter, Ambiguous_taxa
Bacteria, Bacteroidetes, Bacteroidia, Cytophagales, Microscillaceae, uncultured, Ambiguous_taxa
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, SC-I-84, uncultured bacterium, uncultured bacterium
Bacteria, Gemmatimonadetes, Gemmatimonadetes, Gemmatimonadales, Gemmatimonadaceae, uncultured, Ambiguous_taxa
Bacteria, Actinobacteria, Thermoleophilia, Solirubrobacterales, Solirubrobacteraceae, uncultured, Ambiguous_taxa
Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Xiphinematobacteraceae, Candidatus Xiphinematobacter,NA
Bacteria, Acidobacteria, Acidobacteriia, Solibacterales, Solibacteraceae (Subgroup 3), Bryobacter, Ambiguous_taxa
Bacteria, Planctomycetes, Planctomycetacia, Pirellulales, Pirellulaceae, Pirellula,NA
Archaea, Thaumarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, uncultured archaeon, uncultured archaeon
Bacteria, Bacteroidetes, Bacteroidia, Cytophagales, Microscillaceae, uncultured, Ambiguous_taxa
Bacteria, Elusimicrobia, Lineage IIb, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Nitrosomonadaceae, Ellin6067, uncultured bacterium
Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Bradyrhizobium,NA
Bacteria, Acidobacteria, Subgroup 6,NA,NA,NA,NA
Bacteria, Proteobacteria, Deltaproteobacteria, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio, uncultured bacterium
Bacteria, Proteobacteria, Deltaproteobacteria, Desulfarculales, Desulfarculaceae, uncultured, uncultured bacterium
Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, uncultured, uncultured Chitinophagaceae bacterium
Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Planctomycetes, BD7-11, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Nitrosomonadaceae, mle1-7, Ambiguous_taxa
Bacteria, Bacteroidetes, Bacteroidia, Cytophagales, Hymenobacteraceae, Adhaeribacter, Ambiguous_taxa
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria, Patescibacteria, Parcubacteria, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter, Ambiguous_taxa
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, SC-I-84, uncultured bacterium, uncultured bacterium
Bacteria, Bacteroidetes, Bacteroidia, Cytophagales, Cytophagaceae, Cytophaga, Ambiguous_taxa
Bacteria, Chloroflexi, JG30-KF-CM66, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
Bacteria, Planctomycetes, OM190, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
Bacteria, Gemmatimonadetes, S0134 terrestrial group, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Nitrosomonadaceae, Ellin6067, Ambiguous_taxa
Bacteria, Actinobacteria, Thermoleophilia, Gaiellales, uncultured,NA,NA
Bacteria, Chloroflexi, Anaerolineae, SBR1031, A4b, uncultured bacterium, uncultured bacterium
Bacteria, Rokubacteria, NC10, Rokubacteriales, uncultured bacterium, uncultured bacterium, uncultured bacterium
Bacteria, Proteobacteria, Alphaproteobacteria, Azospirillales, Azospirillaceae, Skermanella, Ambiguous_taxa
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, SC-I-84, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Verrucomicrobia, Verrucomicrobiae, Verrucomicrobiales, Rubritaleaceae, Luteolibacter, Ambiguous_taxa
Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae,NA,NA
Bacteria, Chloroflexi, Anaerolineae, Anaerolineales, Anaerolineaceae, uncultured, Ambiguous_taxa
Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, KF-JG30-B3, uncultured bacterium, uncultured bacterium
Bacteria, Actinobacteria, Actinobacteria, Micrococcales, Micrococcaceae, Arthrobacter, Arthrobacter sp. F7
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, TRA3-20, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Planctomycetes, Planctomycetacia, Pirellulales, Pirellulaceae, Pirellula, uncultured bacterium
Bacteria, Verrucomicrobia, Verrucomicrobiae, UA11, uncultured bacterium, uncultured bacterium, uncultured bacterium
Bacteria, Acidobacteria, Subgroup 6,NA,NA,NA,NA
Bacteria, Planctomycetes, Planctomycetacia, Pirellulales, Pirellulaceae, Pirellula, Ambiguous_taxa
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, uncultured, Ambiguous_taxa
Bacteria, Chloroflexi, KD4-96, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Phenylobacterium,NA
Bacteria, Proteobacteria, Alphaproteobacteria, Elsterales, uncultured,NA,NA
Bacteria, Planctomycetes, Planctomycetacia, Gemmatales, Gemmataceae, uncultured, uncultured bacterium
Bacteria, Planctomycetes, Phycisphaerae, Tepidisphaerales, WD2101 soil group, uncultured bacterium, uncultured bacterium
Bacteria, Patescibacteria, Parcubacteria, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
Bacteria, Planctomycetes, Planctomycetacia, Gemmatales, Gemmataceae, uncultured, uncultured bacterium
Bacteria, Actinobacteria, MB-A2-108, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, uncultured bacterium, uncultured bacterium
Bacteria, Proteobacteria, Alphaproteobacteria, Azospirillales, Azospirillaceae, Skermanella, Ambiguous_taxa
Bacteria, Planctomycetes, OM190,NA,NA,NA,NA
Bacteria, Planctomycetes, Phycisphaerae, Tepidisphaerales, WD2101 soil group, uncultured bacterium, uncultured bacterium
Bacteria, Planctomycetes, Planctomycetacia, Planctomycetales, uncultured, uncultured bacterium, uncultured bacterium
Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Candidatus Udaeobacter, Ambiguous_taxa
Bacteria, Chloroflexi, TK10, metagenome, metagenome, metagenome, metagenome
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Nitrosomonadaceae,NA,NA
Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, uncultured bacterium, uncultured bacterium
Bacteria, Planctomycetes, Planctomycetacia, Gemmatales, Gemmataceae, Fimbriiglobus,NA
Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Chthoniobacter, Ambiguous_taxa
Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Chthoniobacter, Ambiguous_taxa
Bacteria, Proteobacteria, Deltaproteobacteria, Syntrophobacterales, Syntrophaceae, uncultured, uncultured bacterium
Bacteria, Gemmatimonadetes, Gemmatimonadetes, Gemmatimonadales, Gemmatimonadaceae, uncultured, Ambiguous_taxa
Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Xiphinematobacteraceae, Candidatus Xiphinematobacter,NA
Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Lysobacter,NA
Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, Ferruginibacter, Ambiguous_taxa
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, uncultured,NA
Bacteria, Gemmatimonadetes, Gemmatimonadetes, Gemmatimonadales, Gemmatimonadaceae, uncultured, Ambiguous_taxa
Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae,NA,NA
Bacteria, Acidobacteria, Subgroup 6, uncultured Acidobacteria bacterium, uncultured Acidobacteria bacterium, uncultured Acidobacteria bacterium, uncultured Acidobacteria bacterium
Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Myxococcaceae, Aggregicoccus,NA
Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, Ferruginibacter, uncultured bacterium
Bacteria, Proteobacteria, Alphaproteobacteria, Reyranellales, Reyranellaceae, Reyranella, Ambiguous_taxa
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Nitrosomonadaceae, Ellin6067, Ambiguous_taxa
Bacteria, Proteobacteria, Deltaproteobacteria,NA,NA,NA,NA
Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Sandaracinaceae, uncultured, uncultured bacterium
Bacteria, Planctomycetes, Phycisphaerae, Tepidisphaerales, WD2101 soil group, uncultured bacterium, uncultured bacterium
Bacteria, Planctomycetes, Phycisphaerae, Tepidisphaerales, WD2101 soil group, uncultured bacterium, uncultured bacterium
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, SC-I-84, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, Ambiguous_taxa,NA
Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, Pedosphaera,NA
Bacteria, Armatimonadetes, Fimbriimonadia, Fimbriimonadales, Fimbriimonadaceae,NA,NA
Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, uncultured bacterium, uncultured bacterium
Bacteria, Acidobacteria, Acidobacteriia, Subgroup 2, uncultured bacterium, uncultured bacterium, uncultured bacterium
Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, Pedosphaera,NA
Bacteria, Proteobacteria, Deltaproteobacteria, Syntrophobacterales, Syntrophaceae, uncultured,NA
Bacteria, Chloroflexi, Gitt-GS-136, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
Bacteria, Actinobacteria, Actinobacteria, Micrococcales, Microbacteriaceae,NA,NA
Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Rhodanobacteraceae, uncultured,NA
Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, uncultured, Ambiguous_taxa
Bacteria, Planctomycetes, OM190, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
Bacteria, Proteobacteria, Deltaproteobacteria, Oligoflexales, 0319-6G20,NA,NA
Bacteria, Patescibacteria, ABY1, Candidatus Magasanikbacteria,NA,NA,NA
Bacteria, Bacteroidetes, Ignavibacteria, SJA-28, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Chloroflexi, Anaerolineae, SBR1031, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Chloroflexi, Ktedonobacteria, Ktedonobacterales, Ktedonobacteraceae, HSB OF53-F07,NA
Bacteria, Bacteroidetes, Bacteroidia, Cytophagales, Spirosomaceae, Dyadobacter, Ambiguous_taxa
Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Haliangiaceae, Haliangium, uncultured bacterium
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Phaselicystidaceae, Phaselicystis, uncultured bacterium
Bacteria, Entotheonellaeota, Entotheonellia, Entotheonellales, Entotheonellaceae, uncultured bacterium, uncultured bacterium
Bacteria, Acidobacteria, Blastocatellia (Subgroup 4), Pyrinomonadales, Pyrinomonadaceae, RB41, uncultured bacterium
Bacteria, Acidobacteria, Thermoanaerobaculia, Thermoanaerobaculales, Thermoanaerobaculaceae, Subgroup 10,NA
Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, uncultured, Ambiguous_taxa
Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Haliangiaceae, Haliangium, Ambiguous_taxa
Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Arenimonas, Ambiguous_taxa
Bacteria, Proteobacteria, Gammaproteobacteria, Steroidobacterales, Steroidobacteraceae, uncultured, metagenome
Bacteria, Actinobacteria, Actinobacteria, Frankiales, Acidothermaceae, Acidothermus, uncultured bacterium
Bacteria, Actinobacteria, Actinobacteria, Micromonosporales, Micromonosporaceae,NA,NA
Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, TRA3-20, Ambiguous_taxa, Ambiguous_taxa
Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Saprospiraceae, uncultured, uncultured bacterium
Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, uncultured bacterium, uncultured bacterium
Bacteria, Acidobacteria, Blastocatellia (Subgroup 4), Pyrinomonadales, Pyrinomonadaceae, RB41, Ambiguous_taxa
Bacteria, Acidobacteria, Blastocatellia (Subgroup 4), Pyrinomonadales, Pyrinomonadaceae, RB41, Ambiguous_taxa
