OTU	Occ	Domain	Phylum	Class	Order	Family	Genus	Species	Genus_Class	com_abund	RelAbund	PercentRelAbund
FPLS01057749.14.1522	1	Bacteria	 Actinobacteria	 MB-A2-108	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 MB-A2-108	0.051666907	0.001148153	0.114815349
AB821118.1.1465	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Reyranellales	 Reyranellaceae	 Reyranella	 Ambiguous_taxa	 Reyranella	0.051558666	0.001145748	0.114574814
JN417573.1.1521	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Terrimonas	 Ambiguous_taxa	 Terrimonas	0.051486506	0.001144145	0.114414458
KC138685.1.1557	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.050368018	0.001119289	0.11192893
HQ190292.1.1525	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.050187617	0.00111528	0.111528038
BBUL01000055.3960.5476	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Cellvibrionales	 Cellvibrionaceae	 Cellvibrio	 Ambiguous_taxa	 Cellvibrio	0.048455766	0.001076795	0.107679479
KF712614.1.1477	1	Bacteria	 Chloroflexi	 Anaerolineae	 Anaerolineales	 Anaerolineaceae	 uncultured	 Ambiguous_taxa	 Anaerolineae	0.04758984	0.001057552	0.1057552
JN038717.1.1516	1	Bacteria	 Latescibacteria	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 Latescibacteria	0.047265118	0.001050336	0.105033595
EU335320.1.1482	1	Bacteria	 Acidobacteria	 Acidobacteriia	 Acidobacteriales	 uncultured	 Ambiguous_taxa	 Ambiguous_taxa	 Acidobacteriia	0.046868235	0.001041516	0.104151633
HQ598262.1.1507	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.046868235	0.001041516	0.104151633
FPLS01001484.11.1517	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Ferruginibacter	 Ambiguous_taxa	 Ferruginibacter	0.046507433	0.001033499	0.10334985
EF032745.1.1463	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Nitrosomonadaceae	 mle1-7	 Ambiguous_taxa	 mle1-7	0.046218791	0.001027084	0.102708424
JQ278925.1.1481	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Blastocatellales	 Blastocatellaceae	 Stenotrophobacter	 Ambiguous_taxa	 Stenotrophobacter	0.04607447	0.001023877	0.10238771
FPLL01008488.21.1525	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Ferruginibacter	 Ambiguous_taxa	 Ferruginibacter	0.045605426	0.001013454	0.101345392
GQ500748.1.1521	1	Bacteria	 Acidobacteria	 Subgroup 6	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 Subgroup 6	0.045605426	0.001013454	0.101345392
AF507704.1.1442	1	Bacteria	 Planctomycetes	 Phycisphaerae	 Tepidisphaerales	 WD2101 soil group	 uncultured bacterium	 uncultured bacterium	 Phycisphaerae	0.044919902	0.00099822	0.099822004
FPLS01054308.18.1559	1	Bacteria	 Rokubacteria	 NC10	 Rokubacteriales	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 NC10	0.044775581	0.000995013	0.099501291
EU335240.1.1487	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Sphingobacteriales	 AKYH767	 uncultured bacterium	 uncultured bacterium	 Bacteroidia	0.04470342	0.000993409	0.099340934
FPLL01004168.11.1529	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Nitrosomonadaceae	 MND1	 Ambiguous_taxa	 MND1	0.04470342	0.000993409	0.099340934
JQ978526.1.1507	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Nitrosomonadaceae	 Ellin6067	 Ambiguous_taxa	 Ellin6067	0.044450859	0.000987797	0.098779686
AJ416411.1.1485	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Novosphingobium	 Ambiguous_taxa	 Novosphingobium	0.044198297	0.000982184	0.098218438
KY190394.1.1451	1	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 uncultured	 Ambiguous_taxa	 Gemmatimonadetes	0.044017896	0.000978175	0.097817546
KC554288.1.1544	1	Bacteria	 Actinobacteria	 Thermoleophilia	 Gaiellales	 Gaiellaceae	 Gaiella	 Ambiguous_taxa	 Gaiella	0.043945735	0.000976572	0.09765719
JF429074.1.1521	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Nitrosomonadaceae	 MND1	 Ambiguous_taxa	 MND1	0.043765334	0.000972563	0.097256298
EU786133.1.1508	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Sandaracinaceae	 uncultured	 uncultured bacterium	 Deltaproteobacteria	0.043621013	0.000969356	0.096935585
JN417578.1.1474	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 KF-JG30-B3	 Ambiguous_taxa	 Ambiguous_taxa	 Alphaproteobacteria	0.043548853	0.000967752	0.096775228
FPLS01004003.9.1527	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Nitrosomonadaceae	 MND1	 Ambiguous_taxa	 MND1	0.043007649	0.000955726	0.095572553
