OTU_ID,Domain,Phylum,Class,Order,Family,Genus,Species
EU861906.1.1464,Bacteria, Chloroflexi, TK10, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
JN417563.1.1533,Bacteria, Nitrospirae, Nitrospira, Nitrospirales, Nitrospiraceae, Nitrospira, Ambiguous_taxa
AB821064.1.1472,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Ambiguous_taxa, Ambiguous_taxa
EU135458.1.1398,Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, uncultured bacterium, uncultured bacterium
FPLS01037646.11.1514,Bacteria, Gemmatimonadetes, Gemmatimonadetes, Gemmatimonadales, Gemmatimonadaceae, Gemmatimonas,NA
FJ872373.13200.14750,Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Chthoniobacter, Ambiguous_taxa
KC331552.1.1600,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Nitrosomonadaceae, IS-44, uncultured bacterium
AY921818.1.1359,Bacteria, Cyanobacteria, Sericytochromatia,NA,NA,NA,NA
OTU_dn_675,Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, mle1-27,NA,NA
EU276475.1.1486,Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
JX114426.1.1484,Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, uncultured, Ambiguous_taxa
KJ192016.1.1523,Bacteria, Entotheonellaeota, Entotheonellia, Entotheonellales, Entotheonellaceae, Ambiguous_taxa, Ambiguous_taxa
FPLS01041815.18.1487,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, Ambiguous_taxa
EF515980.1.1463,Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Sandaracinaceae, uncultured, Ambiguous_taxa
AY487103.1.1426,Archaea, Thaumarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Ambiguous_taxa, Ambiguous_taxa
HQ166681.1.1502,Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, 27F-1492R, uncultured bacterium, uncultured bacterium
FPLS01045451.11.1538,Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
FPLS01031197.11.1541,Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Haliangiaceae, Haliangium,NA
FPLS01009273.17.1481,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, uncultured, Ambiguous_taxa
HQ190477.1.1531,Bacteria, Proteobacteria, Deltaproteobacteria,NA,NA,NA,NA
EF019555.1.1404,Bacteria, Acidobacteria, Holophagae, Subgroup 7, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
FJ478897.1.1521,Bacteria, Proteobacteria, Deltaproteobacteria, Desulfarculales, Desulfarculaceae, uncultured, Ambiguous_taxa
OTU_dn_933,Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, uncultured, uncultured bacterium
KC331356.1.1516,Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, BIrii41, Ambiguous_taxa, Ambiguous_taxa
OTU_dn_9638,Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, uncultured,NA
HM459614.1.1496,Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, uncultured, Ambiguous_taxa
EF580962.1.1486,Bacteria, Planctomycetes, Planctomycetacia, Gemmatales, Gemmataceae, uncultured, uncultured bacterium
AB473896.1.1510,Bacteria, Planctomycetes, Planctomycetacia, Isosphaerales, Isosphaeraceae, uncultured, Ambiguous_taxa
FPLS01007753.11.1539,Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
HM007546.1.1529,Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Haliangiaceae, Haliangium, Ambiguous_taxa
KF712859.1.1532,Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, uncultured bacterium, uncultured bacterium
LN573543.1.1382,Bacteria, Acidobacteria, Subgroup 6,NA,NA,NA,NA
AY957933.1.1500,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Hyphomicrobium, uncultured bacterium
OTU_dn_1167,Bacteria, Gemmatimonadetes, Gemmatimonadetes, Gemmatimonadales, Gemmatimonadaceae, uncultured, uncultured bacterium
FM877557.1.1487,Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Chthoniobacter,NA
EU445216.1.1546,Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
FPLL01005424.11.1493,Bacteria, Acidobacteria, Acidobacteriia, Solibacterales, Solibacteraceae (Subgroup 3), Candidatus Solibacter, Ambiguous_taxa
EF018692.1.1326,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Hyphomicrobium,NA
KJ161326.1.1708,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,NA
DQ537531.1.1476,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae,NA,NA
KX753116.1.1452,Bacteria, Planctomycetes, Phycisphaerae, Tepidisphaerales, WD2101 soil group, uncultured bacterium, uncultured bacterium
AY139002.1.1524,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, Ambiguous_taxa, Ambiguous_taxa
OTU_dn_4561,Bacteria, Proteobacteria, Alphaproteobacteria, Micropepsales, Micropepsaceae, uncultured,NA
FPLL01003875.16.1549,Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
HQ011714.1.1210,Bacteria, Bacteroidetes, Bacteroidia, Cytophagales, Hymenobacteraceae, Adhaeribacter,NA
FPLS01057749.14.1522,Bacteria, Actinobacteria, MB-A2-108, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
KF712720.1.1452,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Brevundimonas, Ambiguous_taxa
FPLL01008488.21.1525,Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, Ferruginibacter, Ambiguous_taxa
ATTT01000037.173.1685,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, SC-I-84, beta proteobacterium JGI 0001003-N18, beta proteobacterium JGI 0001003-N18
Y07576.1.1528,Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Candidatus Udaeobacter, Ambiguous_taxa
FPLS01007460.13.1516,Bacteria, Bacteroidetes, Bacteroidia, Cytophagales, Microscillaceae, uncultured, Ambiguous_taxa
HQ118650.1.1503,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, SC-I-84, uncultured bacterium, uncultured bacterium
FPLS01025427.9.1500,Bacteria, Gemmatimonadetes, Gemmatimonadetes, Gemmatimonadales, Gemmatimonadaceae, uncultured, Ambiguous_taxa
CZKG01000048.33782.35294,Bacteria, Actinobacteria, Thermoleophilia, Solirubrobacterales, Solirubrobacteraceae, uncultured, Ambiguous_taxa
EF018876.1.1358,Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Xiphinematobacteraceae, Candidatus Xiphinematobacter,NA
FPLS01053772.12.1474,Bacteria, Acidobacteria, Acidobacteriia, Solibacterales, Solibacteraceae (Subgroup 3), Bryobacter, Ambiguous_taxa
DQ058680.1.1498,Bacteria, Planctomycetes, Planctomycetacia, Pirellulales, Pirellulaceae, Pirellula,NA
HQ269171.1.1015,Archaea, Thaumarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, uncultured archaeon, uncultured archaeon
FJ479179.1.1483,Bacteria, Bacteroidetes, Bacteroidia, Cytophagales, Microscillaceae, uncultured, Ambiguous_taxa
OTU_dn_12911,Bacteria, Elusimicrobia, Lineage IIb, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
EF515951.1.1453,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Nitrosomonadaceae, Ellin6067, uncultured bacterium
DQ517952.1.1496,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Bradyrhizobium,NA
HQ118851.1.1525,Bacteria, Acidobacteria, Subgroup 6,NA,NA,NA,NA
OTU_dn_3290,Bacteria, Proteobacteria, Deltaproteobacteria, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio, uncultured bacterium
FPLL01006504.92.1631,Bacteria, Proteobacteria, Deltaproteobacteria, Desulfarculales, Desulfarculaceae, uncultured, uncultured bacterium
KJ192072.1.1505,Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, uncultured, uncultured Chitinophagaceae bacterium
HQ597738.1.1508,Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
KF712721.1.1509,Bacteria, Planctomycetes, BD7-11, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
FPLS01001236.12.1532,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Nitrosomonadaceae, mle1-7, Ambiguous_taxa
JN417600.1.1512,Bacteria, Bacteroidetes, Bacteroidia, Cytophagales, Hymenobacteraceae, Adhaeribacter, Ambiguous_taxa
OTU_dn_733,Bacteria,NA,NA,NA,NA,NA,NA
OTU_dn_662,Bacteria, Patescibacteria, Parcubacteria, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
CP001089.768668.770218,Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter, Ambiguous_taxa
JQ978566.1.1511,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, SC-I-84, uncultured bacterium, uncultured bacterium
ARBN01000051.64.1564,Bacteria, Bacteroidetes, Bacteroidia, Cytophagales, Cytophagaceae, Cytophaga, Ambiguous_taxa
EF590043.1.1349,Bacteria, Chloroflexi, JG30-KF-CM66, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
EU135143.1.1373,Bacteria, Planctomycetes, OM190, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
FPLS01014164.8.1547,Bacteria, Gemmatimonadetes, S0134 terrestrial group, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
EU528219.1.1338,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Nitrosomonadaceae, Ellin6067, Ambiguous_taxa
EF019072.1.1393,Bacteria, Actinobacteria, Thermoleophilia, Gaiellales, uncultured,NA,NA
OTU_dn_54,Bacteria, Chloroflexi, Anaerolineae, SBR1031, A4b, uncultured bacterium, uncultured bacterium
JF833872.1.1526,Bacteria, Rokubacteria, NC10, Rokubacteriales, uncultured bacterium, uncultured bacterium, uncultured bacterium
HG917262.1.1473,Bacteria, Proteobacteria, Alphaproteobacteria, Azospirillales, Azospirillaceae, Skermanella, Ambiguous_taxa
AB630753.1.1475,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, SC-I-84, Ambiguous_taxa, Ambiguous_taxa
JN038614.1.1527,Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, Ambiguous_taxa, Ambiguous_taxa
DQ787718.1.1532,Bacteria, Verrucomicrobia, Verrucomicrobiae, Verrucomicrobiales, Rubritaleaceae, Luteolibacter, Ambiguous_taxa
FPLS01030586.17.1487,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae,NA,NA
KF712614.1.1477,Bacteria, Chloroflexi, Anaerolineae, Anaerolineales, Anaerolineaceae, uncultured, Ambiguous_taxa
EU881119.1.1458,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, KF-JG30-B3, uncultured bacterium, uncultured bacterium
KR088549.1.1526,Bacteria, Actinobacteria, Actinobacteria, Micrococcales, Micrococcaceae, Arthrobacter, Arthrobacter sp. F7
FPLL01006926.16.1529,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, TRA3-20, Ambiguous_taxa, Ambiguous_taxa
EU135082.1.1256,Bacteria, Planctomycetes, Planctomycetacia, Pirellulales, Pirellulaceae, Pirellula, uncultured bacterium
OTU_dn_168,Bacteria, Verrucomicrobia, Verrucomicrobiae, UA11, uncultured bacterium, uncultured bacterium, uncultured bacterium
KF712795.1.1517,Bacteria, Acidobacteria, Subgroup 6,NA,NA,NA,NA
JX489984.1.1475,Bacteria, Planctomycetes, Planctomycetacia, Pirellulales, Pirellulaceae, Pirellula, Ambiguous_taxa
EF632938.1.1524,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, uncultured, Ambiguous_taxa
FM866304.1.1417,Bacteria, Chloroflexi, KD4-96, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
EF018650.1.1329,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Phenylobacterium,NA
KC855017.1.1454,Bacteria, Proteobacteria, Alphaproteobacteria, Elsterales, uncultured,NA,NA
KC854967.1.1480,Bacteria, Planctomycetes, Planctomycetacia, Gemmatales, Gemmataceae, uncultured, uncultured bacterium
OTU_dn_128,Bacteria, Planctomycetes, Phycisphaerae, Tepidisphaerales, WD2101 soil group, uncultured bacterium, uncultured bacterium
OTU_dn_11215,Bacteria, Patescibacteria, Parcubacteria, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
OTU_dn_685,Bacteria, Planctomycetes, Planctomycetacia, Gemmatales, Gemmataceae, uncultured, uncultured bacterium
OTU_dn_254,Bacteria, Actinobacteria, MB-A2-108, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
LN573033.1.1402,Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, uncultured bacterium, uncultured bacterium
DQ532177.1.1470,Bacteria, Proteobacteria, Alphaproteobacteria, Azospirillales, Azospirillaceae, Skermanella, Ambiguous_taxa
KY190480.1.1482,Bacteria, Planctomycetes, OM190,NA,NA,NA,NA
OTU_dn_1180,Bacteria, Planctomycetes, Phycisphaerae, Tepidisphaerales, WD2101 soil group, uncultured bacterium, uncultured bacterium
OTU_dn_451,Bacteria, Planctomycetes, Planctomycetacia, Planctomycetales, uncultured, uncultured bacterium, uncultured bacterium
GQ495404.1.1554,Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Candidatus Udaeobacter, Ambiguous_taxa
FPLS01009649.9.1480,Bacteria, Chloroflexi, TK10, metagenome, metagenome, metagenome, metagenome
AB179513.1.1495,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Nitrosomonadaceae,NA,NA
KY190712.1.1490,Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, uncultured bacterium, uncultured bacterium
FPLS01042936.19.1503,Bacteria, Planctomycetes, Planctomycetacia, Gemmatales, Gemmataceae, Fimbriiglobus,NA
FPLS01049389.11.1548,Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Chthoniobacter, Ambiguous_taxa
GQ264227.1.1470,Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Chthoniobacter, Ambiguous_taxa
JF266273.1.1380,Bacteria, Proteobacteria, Deltaproteobacteria, Syntrophobacterales, Syntrophaceae, uncultured, uncultured bacterium
KY190394.1.1451,Bacteria, Gemmatimonadetes, Gemmatimonadetes, Gemmatimonadales, Gemmatimonadaceae, uncultured, Ambiguous_taxa
JF833647.1.1549,Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Xiphinematobacteraceae, Candidatus Xiphinematobacter,NA
AY212636.1.1538,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Lysobacter,NA
EF683058.1.1498,Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, Ferruginibacter, Ambiguous_taxa
OTU_dn_615,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, uncultured,NA
KJ782244.1.1479,Bacteria, Gemmatimonadetes, Gemmatimonadetes, Gemmatimonadales, Gemmatimonadaceae, uncultured, Ambiguous_taxa
FPLL01002138.3.1535,Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, Ambiguous_taxa, Ambiguous_taxa
JQ861281.1.1538,Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae,NA,NA
OTU_dn_1378,Bacteria, Acidobacteria, Subgroup 6, uncultured Acidobacteria bacterium, uncultured Acidobacteria bacterium, uncultured Acidobacteria bacterium, uncultured Acidobacteria bacterium
KF767690.1.1531,Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Myxococcaceae, Aggregicoccus,NA
EU978817.1.1490,Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, Ferruginibacter, uncultured bacterium
AATN01001290.251.1721,Bacteria, Proteobacteria, Alphaproteobacteria, Reyranellales, Reyranellaceae, Reyranella, Ambiguous_taxa
JQ978526.1.1507,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Nitrosomonadaceae, Ellin6067, Ambiguous_taxa
EU881160.1.1524,Bacteria, Proteobacteria, Deltaproteobacteria,NA,NA,NA,NA
EU786133.1.1508,Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Sandaracinaceae, uncultured, uncultured bacterium
EF019190.1.1356,Bacteria, Planctomycetes, Phycisphaerae, Tepidisphaerales, WD2101 soil group, uncultured bacterium, uncultured bacterium
